TOKEN_ID,TOKEN_NAME,IMAGE,TOKEN_URI,BACKGROUND,BASE,TATTOOS,CLOTHING,CHAIN,BAG,PIERCINGS,MOUTH,EYES,HEAD ACCESSORIES,ROBOT,PAWS
8887,DEGEN TOONZ #8887,http://degentoonz-app-gfcxi.ondigitalocean.app/asset/8887.png,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8887.json,RED_HALFTONE,ZOMBIE,ETH_WINGS,BIKER_JACKET,NONE,NONE,DIAMOND_STUD,SMILE,XX,BLACK_HEADPHONES,,
8885,DEGEN TOONZ #8885,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8885.json,,,,,,,,,,,,
8879,DEGEN TOONZ #8879,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8879.json,,,,,,,,,,,,
8884,DEGEN TOONZ #8884,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8884.json,,,,,,,,,,,,
8882,DEGEN TOONZ #8882,http://degentoonz-app-gfcxi.ondigitalocean.app/hidden.gif,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8882.json,,,,,,,,,,,,
8888,DEGEN TOONZ #8888,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8888.json,,,,,,,,,,,,
8883,DEGEN TOONZ #8883,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8883.json,,,,,,,,,,,,
8886,DEGEN TOONZ #8886,http://degentoonz-app-gfcxi.ondigitalocean.app/hidden.gif,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8886.json,,,,,,,,,,,,
8880,DEGEN TOONZ #8880,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8880.json,,,,,,,,,,,,
8881,DEGEN TOONZ #8881,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8881.json,,,,,,,,,,,,
8877,DEGEN TOONZ #8877,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8877.json,,,,,,,,,,,,
8876,DEGEN TOONZ #8876,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8876.json,,,,,,,,,,,,
8878,DEGEN TOONZ #8878,http://degentoonz-app-gfcxi.ondigitalocean.app/hidden.gif,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8878.json,,,,,,,,,,,,
8875,DEGEN TOONZ #8875,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8875.json,,,,,,,,,,,,
8826,DEGEN TOONZ #8826,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8826.json,,,,,,,,,,,,
8850,DEGEN TOONZ #8850,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8850.json,,,,,,,,,,,,
8816,DEGEN TOONZ #8816,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8816.json,,,,,,,,,,,,
8806,DEGEN TOONZ #8806,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8806.json,,,,,,,,,,,,
8795,DEGEN TOONZ #8795,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8795.json,,,,,,,,,,,,
8869,DEGEN TOONZ #8869,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8869.json,,,,,,,,,,,,
8838,DEGEN TOONZ #8838,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8838.json,,,,,,,,,,,,
8845,DEGEN TOONZ #8845,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8845.json,,,,,,,,,,,,
8817,DEGEN TOONZ #8817,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8817.json,,,,,,,,,,,,
8863,DEGEN TOONZ #8863,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8863.json,,,,,,,,,,,,
8823,DEGEN TOONZ #8823,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8823.json,,,,,,,,,,,,
8849,DEGEN TOONZ #8849,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8849.json,,,,,,,,,,,,
8801,DEGEN TOONZ #8801,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8801.json,,,,,,,,,,,,
8807,DEGEN TOONZ #8807,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8807.json,,,,,,,,,,,,
8873,DEGEN TOONZ #8873,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8873.json,,,,,,,,,,,,
8844,DEGEN TOONZ #8844,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8844.json,,,,,,,,,,,,
8832,DEGEN TOONZ #8832,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8832.json,,,,,,,,,,,,
8871,DEGEN TOONZ #8871,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8871.json,,,,,,,,,,,,
8830,DEGEN TOONZ #8830,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8830.json,,,,,,,,,,,,
8829,DEGEN TOONZ #8829,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8829.json,,,,,,,,,,,,
8862,DEGEN TOONZ #8862,,https://degentoonz-app-gfcxi.ondigitalocean.app/metadata/8862.json,,,,,,,,,,,,
